objid,ra,dec,modelmag_r,modelmagerr_r,extinction_r,redshift,zErr
1237667443511459991,194.097327415816,27.5440494724868,17.42392,0.007443251,0.02286598,0.02446478,3.178001E-05
1237667443511525379,194.142438342425,27.5389547717013,14.53196,0.002196844,0.02371403,0.02365648,7.687304E-06
1237667443511525432,194.289229748175,27.4664033989554,14.07702,0.001994381,0.02427441,0.02485023,7.167417E-06
1237667443511525478,194.160189201815,27.5709432176904,17.51683,0.007284003,0.02233055,0.02537161,3.731528E-05
1237667443511525482,194.176611798043,27.5482587383269,16.84119,0.005789716,0.0229843,0.02531836,1.833117E-05
1237667443511525488,194.170546071633,27.4477507391494,17.58599,0.006894727,0.02326542,0.02445486,3.580223E-05
1237667443511525502,194.199045299034,27.4209916267466,15.52767,0.003234983,0.02278043,0.02591777,1.094684E-05
1237667443511525535,194.233049649159,27.4623903055484,16.98485,0.007031156,0.02375539,0.02539411,2.924677E-05
1237667443511525555,194.268082476162,27.5259390435087,16.21474,0.004110192,0.02169971,0.02770373,2.201203E-05
1237667443511590950,194.39938792717,27.4932347410149,13.90265,0.001954046,0.02300722,0.0243872,8.622246E-06
1237667443511590951,194.400550649932,27.4848117994848,15.0499,0.002573801,0.02341485,0.02413054,8.122031E-06
1237667443511590952,194.351489490412,27.4978156080583,12.45603,0.001604428,0.02304148,0.02447844,9.237551E-06
1237667443511590954,194.345509774336,27.4929754042259,14.81973,0.002611593,0.02331619,0.02748526,1.082521E-05
1237667443511590959,194.34043409958,27.4748529655504,17.45974,0.006171981,0.02420766,0.02316848,2.202651E-05
1237667443511591025,194.357667652825,27.5461337984977,14.60631,0.002291221,0.02160996,0.01857126,7.533969E-06
1237667443511591026,194.348199876531,27.5499354868852,17.09059,0.006492069,0.0214144,0.02013972,3.439674E-05
1237667443511591044,194.35519928743,27.4045700201824,15.10971,0.002655667,0.02603351,0.01617514,1.305319E-05
1237667443511591123,194.294813548489,27.4049023685192,14.79071,0.002480561,0.02382937,0.0206777,7.849114E-06
1237667443511591179,194.377462830348,27.543025825033,16.74876,0.004703752,0.02168715,0.02552229,1.745908E-05
1237667443511591211,194.430132034307,27.5775942925071,16.25042,0.003788927,0.02072245,0.02410993,1.229675E-05
1237667443511591229,194.440607895851,27.429337548964,16.24677,0.00432491,0.02508572,0.02780965,1.730101E-05
1237667443511591237,194.461481764682,27.490864408106,17.41339,0.006000708,0.02181601,0.0245225,2.175357E-05
1237667443511656452,194.476510958023,27.490632767353,14.99516,0.003108641,0.02154546,0.01661109,1.646865E-05
1237667443511656538,194.484286363686,27.5813497711346,15.81703,0.004431616,0.01988181,0.01655244,6.061077E-06
