wavelength_A,flux
4011.438,7.1828685
4012.3608,6.739112
4013.284,3.5971825
4014.2095,-0.8076685
4015.1328,4.7543216
4016.0588,6.304581
4016.9827,7.572331
4017.909,6.1244416
4018.8333,6.4533496
4019.7578,3.8750572
4020.6848,3.9057896
4021.6096,5.080578
4022.537,4.0481853
4023.4624,6.0248957
4024.3901,9.728804
4025.3162,3.812497
4026.242,3.6054053
4027.1704,9.581149
4028.097,5.7273216
4029.026,1.7832493
4029.9526,3.7056289
4030.882,6.113006
4031.8093,7.5805464
4032.739,8.483469
4033.6667,5.392037
4034.5947,1.0187274
4035.5251,3.0267632
4036.4534,7.371613
4037.3843,6.22803
4038.313,6.4441776
4039.2441,3.560373
4040.1733,5.0930696
4041.1028,5.5591817
4042.0347,3.1157367
4042.9646,4.9410334
4043.897,4.399792
4044.8271,1.0591204
4045.76,3.5555127
4046.6907,4.3379416
4047.6216,10.164145
4048.555,6.311723
4049.4863,7.83086
4050.4202,4.5561824
4051.352,-2.3309524
4052.2861,0.905285
4053.2185,4.9879136
4054.151,-1.5177374
4055.0857,7.423197
4056.0186,6.949454
4056.9539,8.140038
4057.8872,1.1573905
4058.823,1.7620369
4059.7566,2.6658661
4060.6907,-0.3952071
4061.627,1.0739009
4062.5613,6.183805
4063.4983,4.9711413
4064.4329,1.9261631
4065.37,0.2636425
4066.3054,4.065996
4067.241,5.7064548
4068.1787,3.6314483
4069.1147,3.1083562
4070.053,4.9906707
4070.9893,7.4791884
4071.928,8.469204
4072.8647,6.013756
4073.8018,2.8504636
4074.7412,5.2910795
4075.6785,4.3743286
4076.6184,2.428183
4077.5562,2.815622
4078.4966,5.913972
4079.4348,8.079178
4080.3733,9.447792
4081.3142,7.9282985
4082.2532,5.215062
4083.1943,5.422271
4084.1338,4.897638
4085.0754,4.35515
4086.0154,5.057209
4086.9553,8.771471
4087.8977,3.9517586
4088.8381,3.072954
4089.781,4.4017744
4090.722,2.3363206
4091.6653,2.0570104
4092.6064,5.3237305
4093.548,5.7207384
4094.492,6.1761203
4095.4338,5.7078967
4096.3784,6.1690683
4097.321,8.0984335
4098.2656,5.485577
4099.2085,5.9021425
4100.1514,2.4828243
4101.0967,3.0711436
4102.04,4.655779
4102.9863,3.8897955
4103.93,7.427827
4104.8765,3.5382595
4105.821,5.26988
4106.7676,5.9133515
4107.7124,5.677136
4108.657,4.1317043
4109.6045,4.949242
4110.5503,2.8331068
4111.498,4.0570936
4112.444,7.404625
4113.392,4.029658
4114.3384,0.56653625
4115.285,7.569182
4116.234,8.534036
4117.1807,5.1672244
4118.1304,0.6618601
4119.0776,3.4837644
4120.0273,4.1886964
4120.975,1.9434383
4121.9233,5.1254663
4122.874,6.1277657
4123.8223,3.0580802
4124.7734,6.3572464
4125.722,3.0520225
4126.6733,4.5338554
4127.623,2.9234443
4128.5723,6.3457146
4129.5244,8.178668
4130.4746,5.6097684
4131.427,3.5938208
4132.3774,2.2497742
4133.33,3.6550357
4134.2812,5.8853106
4135.2324,4.1042047
4136.1855,4.588556
4137.137,3.4195805
4138.0913,5.4649343
4139.0435,4.5647154
4139.9976,4.852299
4140.95,3.5505488
4141.903,2.1565454
4142.858,3.8146331
4143.811,4.986103
4144.7666,3.954031
4145.72,3.4442732
4146.676,3.3315117
4147.63,6.108015
4148.584,5.5372877
4149.5405,9.026071
4150.495,7.27635
4151.4526,7.1344895
4152.407,5.1835837
4153.3647,2.8646233
4154.3203,2.802243
4155.2764,3.7051725
4156.2344,4.631624
4157.1904,5.4259133
4158.149,3.7445984
4159.1055,1.6301116
4160.065,1.3854953
4161.022,6.9342976
4161.979,6.788568
4162.939,2.0616248
4163.8965,3.2790608
4164.8564,5.0553293
4165.815,5.175763
4166.7754,6.5691147
4167.734,5.4991837
4168.693,4.848304
4169.654,4.4695225
4170.6133,1.8969724
4171.575,4.686112
4172.5347,5.437281
4173.4966,4.154774
4174.457,4.2475343
4175.4175,5.3436923
4176.38,4.713495
4177.341,5.6138177
4178.304,8.341901
4179.265,6.043502
4180.229,8.53871
4181.191,4.0289936
4182.155,8.136736
4183.117,5.1851416
4184.0796,3.4678674
4185.0444,5.5080566
4186.007,5.502563
4186.972,4.384207
4187.9355,4.0105143
4188.9014,4.1061015
4189.8647,5.3107715
4190.8286,4.68241
4191.795,6.2979674
4192.7593,6.670185
4193.726,6.0262966
4194.691,6.5793896
4195.658,5.9299173
4196.6235,5.584443
4197.589,5.509913
4198.557,5.6613107
4199.523,4.7402563
4200.491,3.1356714
4201.4575,5.3734555
4202.4263,4.672781
4203.393,2.4500604
4204.36,4.57772
4205.3296,4.734872
4206.297,2.6839757
4207.267,2.9435213
4208.235,4.915105
4209.205,5.5285788
4210.174,5.918017
4211.142,5.5570145
4212.1133,1.9318265
4213.082,1.1460356
4214.0537,3.0817022
4215.023,7.0193977
4215.995,2.6431737
4216.965,1.6761457
4217.935,3.3373024
4218.9077,5.525287
4219.8784,4.573191
4220.8516,3.2233343
4221.8223,3.8318262
4222.796,4.8594832
4223.7676,6.1521235
4224.7393,6.5883718
4225.7134,7.6972885
4226.6855,6.4540863
4227.66,4.396878
4228.633,8.575601
4229.608,8.51851
4230.5806,7.492522
4231.554,8.198216
4232.53,4.8808656
4233.5034,2.029728
4234.48,5.1534257
4235.454,4.6895776
4236.4307,4.1147146
4237.4053,3.2642798
4238.38,3.7224486
4239.3574,1.5809911
4240.3325,5.5143595
4241.3105,2.1329985
4242.286,4.3972387
4243.264,4.3953857
4244.2407,3.2538621
4245.217,2.5890045
4246.196,1.1757286
4247.173,8.161844
4248.152,4.475542
4249.1294,3.1667154
4250.1094,4.6918983
4251.087,4.2924633
4252.065,3.218837
4253.0454,3.5889018
4254.024,3.722831
4255.005,5.437829
4255.9834,4.6123643
4256.965,2.412317
4257.9443,4.641248
4258.9263,6.1875124
4259.906,4.7916183
4260.8857,3.8673317
4261.8687,3.2020383
4262.849,4.4195056
4263.832,3.296196
4264.813,6.1634645
4265.7964,5.703384
4266.778,5.6412086
4267.7593,5.9923363
4268.743,4.886445
4269.7256,4.772676
4270.71,5.378099
4271.6924,6.042962
4272.6772,4.3335915
4273.6606,3.892166
4274.6436,4.447602
4275.6294,3.726605
